running job: 3
/home-mscluster/erex/anaconda3/envs/swav/lib/python3.9/site-packages/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: libtorch_cuda_cu.so: cannot open shared object file: No such file or directory
  warn(f"Failed to load image Python extension: {e}")
INFO - 02/18/23 03:15:36 - 0:00:00 - ============ Initialized logger ============
INFO - 02/18/23 03:15:36 - 0:00:00 - arch: resnet50
                                     batch_size: 32
                                     data_path: /home-mscluster/erex/research_project/datasets/Covidx-CT
                                     decay_epochs: [60, 80]
                                     dist_url: env://
                                     dump_checkpoints: /home-mscluster/erex/research_project/models/swav/experiments/training/saving_dir3/checkpoints
                                     dump_path: /home-mscluster/erex/research_project/models/swav/experiments/training/saving_dir3
                                     epochs: 100
                                     final_lr: 0
                                     gamma: 0.1
                                     global_pooling: True
                                     gpu_to_work_on: 0
                                     is_slurm_job: True
                                     local_rank: 0
                                     lr: 0.3
                                     nesterov: False
                                     num_labels: 2
                                     pretrained: /home-mscluster/erex/research_project/models/swav/experiments/pre-training/saving_dir3/checkpoint.pth.tar
                                     rank: 0
                                     scheduler_type: cosine
                                     seed: 31
                                     use_bn: False
                                     wd: 1e-06
                                     workers: 10
                                     world_size: 1
INFO - 02/18/23 03:15:36 - 0:00:00 - The experiment will be stored in /home-mscluster/erex/research_project/models/swav/experiments/training/saving_dir3
                                     

INFO - 02/18/23 03:18:43 - 0:03:06 - Building data done
INFO - 02/18/23 03:19:16 - 0:03:40 - Load pretrained model with msg: _IncompatibleKeys(missing_keys=[], unexpected_keys=['projection_head.0.weight', 'projection_head.0.bias', 'projection_head.1.weight', 'projection_head.1.bias', 'projection_head.1.running_mean', 'projection_head.1.running_var', 'projection_head.1.num_batches_tracked', 'projection_head.3.weight', 'projection_head.3.bias', 'prototypes.weight'])
INFO - 02/18/23 03:19:16 - 0:03:40 - ============ Starting epoch 0 ... ============
[W reducer.cpp:1251] Warning: find_unused_parameters=True was specified in DDP constructor, but did not find any unused parameters in the forward pass. This flag results in an extra traversal of the autograd graph every iteration,  which can adversely affect performance. If your model indeed never has any unused parameters in the forward pass, consider turning this flag off. Note that this warning may be a false positive if your model has flow control causing later iterations to have unused parameters. (function operator())
INFO - 02/18/23 03:19:49 - 0:04:13 - Epoch[0] - Iter: [0/11173]	Time 33.155 (33.155)	Data 2.332 (2.332)	Loss 0.6042 (0.6042)	Prec 87.500 (87.500)	LR 0.3
INFO - 02/18/23 06:32:39 - 3:17:03 - Epoch[4] - Iter: [10100/11173]	Time 0.025 (0.220)	Data 0.000 (0.195)	Loss 1.4245 (2.1526)	Prec 90.625 (85.559)	LR 0.2988172051971717
INFO - 02/18/23 06:32:49 - 3:17:13 - Epoch[4] - Iter: [10150/11173]	Time 0.024 (0.220)	Data 0.000 (0.195)	Loss 0.8972 (2.1514)	Prec 90.625 (85.565)	LR 0.2988172051971717
INFO - 02/18/23 06:32:59 - 3:17:23 - Epoch[4] - Iter: [10200/11173]	Time 0.025 (0.220)	Data 0.000 (0.195)	Loss 1.8254 (2.1464)	Prec 68.750 (85.577)	LR 0.2988172051971717
INFO - 02/18/23 06:33:09 - 3:17:33 - Epoch[4] - Iter: [10250/11173]	Time 0.025 (0.220)	Data 0.000 (0.195)	Loss 2.9002 (2.1439)	Prec 78.125 (85.583)	LR 0.2988172051971717
INFO - 02/18/23 06:33:19 - 3:17:43 - Epoch[4] - Iter: [10300/11173]	Time 0.025 (0.220)	Data 0.000 (0.195)	Loss 2.5639 (2.1471)	Prec 93.750 (85.584)	LR 0.2988172051971717
INFO - 02/18/23 06:33:28 - 3:17:52 - Epoch[4] - Iter: [10350/11173]	Time 0.027 (0.220)	Data 0.000 (0.195)	Loss 0.0940 (2.1478)	Prec 93.750 (85.584)	LR 0.2988172051971717
INFO - 02/18/23 06:33:37 - 3:18:01 - Epoch[4] - Iter: [10400/11173]	Time 0.025 (0.219)	Data 0.000 (0.195)	Loss 1.5348 (2.1501)	Prec 84.375 (85.572)	LR 0.2988172051971717
INFO - 02/18/23 06:33:46 - 3:18:10 - Epoch[4] - Iter: [10450/11173]	Time 0.046 (0.219)	Data 0.022 (0.194)	Loss 0.3799 (2.1469)	Prec 93.750 (85.580)	LR 0.2988172051971717
INFO - 02/18/23 06:33:56 - 3:18:20 - Epoch[4] - Iter: [10500/11173]	Time 0.534 (0.219)	Data 0.510 (0.194)	Loss 3.4197 (2.1455)	Prec 81.250 (85.590)	LR 0.2988172051971717
INFO - 02/18/23 06:34:05 - 3:18:29 - Epoch[4] - Iter: [10550/11173]	Time 0.705 (0.219)	Data 0.681 (0.194)	Loss 9.2057 (2.1457)	Prec 87.500 (85.593)	LR 0.2988172051971717
INFO - 02/18/23 06:34:14 - 3:18:38 - Epoch[4] - Iter: [10600/11173]	Time 0.724 (0.219)	Data 0.700 (0.194)	Loss 1.9388 (2.1486)	Prec 93.750 (85.584)	LR 0.2988172051971717
INFO - 02/18/23 06:34:24 - 3:18:48 - Epoch[4] - Iter: [10650/11173]	Time 0.496 (0.219)	Data 0.471 (0.194)	Loss 2.4082 (2.1519)	Prec 81.250 (85.581)	LR 0.2988172051971717
INFO - 02/18/23 06:34:34 - 3:18:58 - Epoch[4] - Iter: [10700/11173]	Time 0.623 (0.218)	Data 0.599 (0.194)	Loss 1.6009 (2.1507)	Prec 84.375 (85.591)	LR 0.2988172051971717
INFO - 02/18/23 06:34:43 - 3:19:07 - Epoch[4] - Iter: [10750/11173]	Time 1.259 (0.218)	Data 1.235 (0.194)	Loss 4.3148 (2.1491)	Prec 71.875 (85.593)	LR 0.2988172051971717
INFO - 02/18/23 06:34:52 - 3:19:16 - Epoch[4] - Iter: [10800/11173]	Time 0.963 (0.218)	Data 0.938 (0.193)	Loss 3.1611 (2.1487)	Prec 87.500 (85.591)	LR 0.2988172051971717
INFO - 02/18/23 06:35:02 - 3:19:26 - Epoch[4] - Iter: [10850/11173]	Time 0.811 (0.218)	Data 0.786 (0.193)	Loss 0.3634 (2.1480)	Prec 96.875 (85.598)	LR 0.2988172051971717
INFO - 02/18/23 06:35:12 - 3:19:35 - Epoch[4] - Iter: [10900/11173]	Time 0.025 (0.218)	Data 0.000 (0.193)	Loss 0.1804 (2.1449)	Prec 93.750 (85.601)	LR 0.2988172051971717
INFO - 02/18/23 06:35:21 - 3:19:45 - Epoch[4] - Iter: [10950/11173]	Time 0.034 (0.218)	Data 0.009 (0.193)	Loss 0.0319 (2.1484)	Prec 100.000 (85.600)	LR 0.2988172051971717
INFO - 02/18/23 06:35:31 - 3:19:55 - Epoch[4] - Iter: [11000/11173]	Time 0.068 (0.218)	Data 0.043 (0.193)	Loss 2.4887 (2.1486)	Prec 87.500 (85.603)	LR 0.2988172051971717
INFO - 02/18/23 06:35:40 - 3:20:04 - Epoch[4] - Iter: [11050/11173]	Time 0.025 (0.218)	Data 0.000 (0.193)	Loss 1.3330 (2.1470)	Prec 84.375 (85.606)	LR 0.2988172051971717
INFO - 02/18/23 06:35:51 - 3:20:14 - Epoch[4] - Iter: [11100/11173]	Time 0.025 (0.218)	Data 0.000 (0.193)	Loss 2.2530 (2.1459)	Prec 93.750 (85.605)	LR 0.2988172051971717
INFO - 02/18/23 06:36:00 - 3:20:24 - Epoch[4] - Iter: [11150/11173]	Time 0.024 (0.217)	Data 0.000 (0.193)	Loss 0.5342 (2.1464)	Prec 93.750 (85.601)	LR 0.2988172051971717
INFO - 02/18/23 06:39:30 - 3:23:54 - Test:	Time 0.196	Loss 2.0382	Acc@1 77.417	Best Acc@1 so far 77.4
INFO - 02/18/23 06:39:31 - 3:23:54 - ============ Starting epoch 5 ... ============
INFO - 02/18/23 06:39:34 - 3:23:58 - Epoch[5] - Iter: [0/11173]	Time 3.400 (3.400)	Data 3.375 (3.375)	Loss 1.7634 (1.7634)	Prec 87.500 (87.500)	LR 0.29815325108927065
INFO - 02/18/23 06:39:47 - 3:24:11 - Epoch[5] - Iter: [50/11173]	Time 1.987 (0.317)	Data 1.962 (0.292)	Loss 2.0289 (1.9225)	Prec 71.875 (84.559)	LR 0.29815325108927065
INFO - 02/18/23 06:39:59 - 3:24:23 - Epoch[5] - Iter: [100/11173]	Time 1.868 (0.278)	Data 1.844 (0.253)	Loss 2.3570 (1.6707)	Prec 81.250 (86.324)	LR 0.29815325108927065
INFO - 02/18/23 06:40:12 - 3:24:35 - Epoch[5] - Iter: [150/11173]	Time 1.836 (0.271)	Data 1.811 (0.246)	Loss 3.0893 (1.6465)	Prec 78.125 (86.569)	LR 0.29815325108927065
INFO - 02/18/23 06:40:25 - 3:24:49 - Epoch[5] - Iter: [200/11173]	Time 2.004 (0.269)	Data 1.979 (0.244)	Loss 2.6385 (1.7916)	Prec 87.500 (86.287)	LR 0.29815325108927065
INFO - 02/18/23 06:40:39 - 3:25:03 - Epoch[5] - Iter: [250/11173]	Time 3.300 (0.274)	Data 3.275 (0.249)	Loss 2.0240 (1.8735)	Prec 81.250 (85.894)	LR 0.29815325108927065
INFO - 02/18/23 06:40:53 - 3:25:16 - Epoch[5] - Iter: [300/11173]	Time 1.963 (0.272)	Data 1.938 (0.247)	Loss 1.3323 (1.8705)	Prec 84.375 (85.984)	LR 0.29815325108927065
INFO - 02/18/23 06:41:05 - 3:25:29 - Epoch[5] - Iter: [350/11173]	Time 2.122 (0.269)	Data 2.097 (0.244)	Loss 5.2049 (1.8451)	Prec 81.250 (86.093)	LR 0.29815325108927065
INFO - 02/18/23 06:41:18 - 3:25:42 - Epoch[5] - Iter: [400/11173]	Time 2.328 (0.269)	Data 2.303 (0.244)	Loss 2.0238 (1.8119)	Prec 81.250 (86.175)	LR 0.29815325108927065
INFO - 02/18/23 06:41:31 - 3:25:55 - Epoch[5] - Iter: [450/11173]	Time 2.321 (0.267)	Data 2.296 (0.242)	Loss 3.0053 (1.7736)	Prec 78.125 (86.308)	LR 0.29815325108927065
INFO - 02/18/23 06:41:43 - 3:26:07 - Epoch[5] - Iter: [500/11173]	Time 2.321 (0.264)	Data 2.296 (0.239)	Loss 3.2951 (1.8389)	Prec 84.375 (86.171)	LR 0.29815325108927065
INFO - 02/18/23 06:41:56 - 3:26:20 - Epoch[5] - Iter: [550/11173]	Time 1.595 (0.263)	Data 1.571 (0.238)	Loss 3.2402 (1.8602)	Prec 78.125 (86.037)	LR 0.29815325108927065
INFO - 02/18/23 06:42:09 - 3:26:33 - Epoch[5] - Iter: [600/11173]	Time 2.164 (0.263)	Data 2.139 (0.239)	Loss 1.5876 (1.9047)	Prec 84.375 (85.841)	LR 0.29815325108927065
INFO - 02/18/23 06:42:22 - 3:26:46 - Epoch[5] - Iter: [650/11173]	Time 1.869 (0.263)	Data 1.844 (0.238)	Loss 1.6464 (1.9106)	Prec 84.375 (85.950)	LR 0.29815325108927065
INFO - 02/18/23 06:42:34 - 3:26:57 - Epoch[5] - Iter: [700/11173]	Time 1.850 (0.261)	Data 1.826 (0.236)	Loss 0.1652 (1.9696)	Prec 93.750 (85.900)	LR 0.29815325108927065
INFO - 02/18/23 06:42:45 - 3:27:09 - Epoch[5] - Iter: [750/11173]	Time 1.486 (0.259)	Data 1.462 (0.234)	Loss 2.5688 (1.9860)	Prec 87.500 (85.861)	LR 0.29815325108927065
INFO - 02/18/23 06:42:59 - 3:27:23 - Epoch[5] - Iter: [800/11173]	Time 2.572 (0.260)	Data 2.547 (0.235)	Loss 5.6894 (2.0587)	Prec 59.375 (85.584)	LR 0.29815325108927065
INFO - 02/18/23 06:43:12 - 3:27:35 - Epoch[5] - Iter: [850/11173]	Time 2.054 (0.260)	Data 2.029 (0.235)	Loss 6.7807 (2.1842)	Prec 56.250 (85.414)	LR 0.29815325108927065
INFO - 02/18/23 06:43:24 - 3:27:48 - Epoch[5] - Iter: [900/11173]	Time 2.528 (0.259)	Data 2.503 (0.234)	Loss 2.6065 (2.2404)	Prec 87.500 (85.395)	LR 0.29815325108927065
INFO - 02/18/23 06:43:36 - 3:28:00 - Epoch[5] - Iter: [950/11173]	Time 2.029 (0.258)	Data 2.004 (0.233)	Loss 2.8415 (2.2955)	Prec 75.000 (85.302)	LR 0.29815325108927065
INFO - 02/18/23 06:43:49 - 3:28:13 - Epoch[5] - Iter: [1000/11173]	Time 2.170 (0.258)	Data 2.145 (0.233)	Loss 3.4631 (2.3310)	Prec 84.375 (85.215)	LR 0.29815325108927065
INFO - 02/18/23 06:44:01 - 3:28:24 - Epoch[5] - Iter: [1050/11173]	Time 1.954 (0.257)	Data 1.929 (0.232)	Loss 2.0951 (2.3113)	Prec 84.375 (85.252)	LR 0.29815325108927065
INFO - 02/18/23 06:44:14 - 3:28:37 - Epoch[5] - Iter: [1100/11173]	Time 1.801 (0.257)	Data 1.777 (0.232)	Loss 5.6358 (2.3573)	Prec 75.000 (85.181)	LR 0.29815325108927065
INFO - 02/18/23 06:44:26 - 3:28:49 - Epoch[5] - Iter: [1150/11173]	Time 1.740 (0.256)	Data 1.715 (0.231)	Loss 1.7881 (2.3806)	Prec 78.125 (85.143)	LR 0.29815325108927065
INFO - 02/18/23 06:44:36 - 3:29:00 - Epoch[5] - Iter: [1200/11173]	Time 0.899 (0.255)	Data 0.874 (0.230)	Loss 1.3642 (2.3492)	Prec 81.250 (85.218)	LR 0.29815325108927065
INFO - 02/18/23 06:44:48 - 3:29:11 - Epoch[5] - Iter: [1250/11173]	Time 0.338 (0.253)	Data 0.314 (0.229)	Loss 3.5174 (2.3195)	Prec 84.375 (85.314)	LR 0.29815325108927065
INFO - 02/18/23 06:45:00 - 3:29:24 - Epoch[5] - Iter: [1300/11173]	Time 0.025 (0.253)	Data 0.000 (0.228)	Loss 5.3010 (2.3128)	Prec 62.500 (85.360)	LR 0.29815325108927065
INFO - 02/18/23 06:45:13 - 3:29:36 - Epoch[5] - Iter: [1350/11173]	Time 0.233 (0.253)	Data 0.209 (0.228)	Loss 3.3608 (2.3017)	Prec 75.000 (85.409)	LR 0.29815325108927065
INFO - 02/18/23 06:45:25 - 3:29:49 - Epoch[5] - Iter: [1400/11173]	Time 0.488 (0.253)	Data 0.464 (0.228)	Loss 8.2701 (2.3592)	Prec 84.375 (85.321)	LR 0.29815325108927065
INFO - 02/18/23 06:45:37 - 3:30:01 - Epoch[5] - Iter: [1450/11173]	Time 0.893 (0.253)	Data 0.869 (0.228)	Loss 2.9634 (2.3532)	Prec 81.250 (85.336)	LR 0.29815325108927065
INFO - 02/18/23 06:45:49 - 3:30:13 - Epoch[5] - Iter: [1500/11173]	Time 0.727 (0.252)	Data 0.703 (0.227)	Loss 1.4278 (2.3867)	Prec 90.625 (85.281)	LR 0.29815325108927065
INFO - 02/18/23 06:46:00 - 3:30:24 - Epoch[5] - Iter: [1550/11173]	Time 0.216 (0.251)	Data 0.192 (0.226)	Loss 0.8628 (2.3810)	Prec 87.500 (85.312)	LR 0.29815325108927065
INFO - 02/18/23 06:46:13 - 3:30:37 - Epoch[5] - Iter: [1600/11173]	Time 0.369 (0.251)	Data 0.345 (0.226)	Loss 4.1063 (2.4000)	Prec 75.000 (85.263)	LR 0.29815325108927065
INFO - 02/18/23 06:46:25 - 3:30:49 - Epoch[5] - Iter: [1650/11173]	Time 0.266 (0.251)	Data 0.242 (0.226)	Loss 1.2247 (2.3903)	Prec 90.625 (85.337)	LR 0.29815325108927065
INFO - 02/18/23 06:46:37 - 3:31:00 - Epoch[5] - Iter: [1700/11173]	Time 0.581 (0.250)	Data 0.557 (0.226)	Loss 1.6812 (2.3861)	Prec 78.125 (85.306)	LR 0.29815325108927065
INFO - 02/18/23 06:46:49 - 3:31:12 - Epoch[5] - Iter: [1750/11173]	Time 0.025 (0.250)	Data 0.000 (0.225)	Loss 1.6382 (2.4139)	Prec 87.500 (85.285)	LR 0.29815325108927065
INFO - 02/18/23 06:47:01 - 3:31:25 - Epoch[5] - Iter: [1800/11173]	Time 0.025 (0.250)	Data 0.000 (0.225)	Loss 3.0293 (2.4384)	Prec 78.125 (85.269)	LR 0.29815325108927065
INFO - 02/18/23 06:47:14 - 3:31:37 - Epoch[5] - Iter: [1850/11173]	Time 0.027 (0.250)	Data 0.000 (0.225)	Loss 1.1180 (2.4417)	Prec 84.375 (85.300)	LR 0.29815325108927065
INFO - 02/18/23 06:47:25 - 3:31:49 - Epoch[5] - Iter: [1900/11173]	Time 0.025 (0.249)	Data 0.000 (0.225)	Loss 0.0000 (2.4664)	Prec 100.000 (85.217)	LR 0.29815325108927065
INFO - 02/18/23 06:47:38 - 3:32:02 - Epoch[5] - Iter: [1950/11173]	Time 0.024 (0.250)	Data 0.000 (0.225)	Loss 1.8997 (2.4591)	Prec 75.000 (85.224)	LR 0.29815325108927065
INFO - 02/18/23 06:47:51 - 3:32:14 - Epoch[5] - Iter: [2000/11173]	Time 0.025 (0.250)	Data 0.000 (0.225)	Loss 1.8183 (2.4546)	Prec 93.750 (85.231)	LR 0.29815325108927065
INFO - 02/18/23 06:48:03 - 3:32:27 - Epoch[5] - Iter: [2050/11173]	Time 0.025 (0.250)	Data 0.000 (0.225)	Loss 6.7869 (2.4699)	Prec 71.875 (85.158)	LR 0.29815325108927065
INFO - 02/18/23 06:48:15 - 3:32:38 - Epoch[5] - Iter: [2100/11173]	Time 0.024 (0.249)	Data 0.000 (0.225)	Loss 0.0066 (2.4540)	Prec 100.000 (85.233)	LR 0.29815325108927065
INFO - 02/18/23 06:48:27 - 3:32:50 - Epoch[5] - Iter: [2150/11173]	Time 0.028 (0.249)	Data 0.000 (0.224)	Loss 1.7669 (2.4632)	Prec 84.375 (85.212)	LR 0.29815325108927065
INFO - 02/18/23 06:48:38 - 3:33:02 - Epoch[5] - Iter: [2200/11173]	Time 0.025 (0.249)	Data 0.000 (0.224)	Loss 1.5306 (2.4519)	Prec 84.375 (85.258)	LR 0.29815325108927065
INFO - 02/18/23 06:48:50 - 3:33:13 - Epoch[5] - Iter: [2250/11173]	Time 0.024 (0.248)	Data 0.000 (0.223)	Loss 8.8043 (2.4337)	Prec 75.000 (85.322)	LR 0.29815325108927065
INFO - 02/18/23 06:49:01 - 3:33:24 - Epoch[5] - Iter: [2300/11173]	Time 0.025 (0.248)	Data 0.000 (0.223)	Loss 2.7143 (2.4343)	Prec 87.500 (85.301)	LR 0.29815325108927065
INFO - 02/18/23 06:49:12 - 3:33:36 - Epoch[5] - Iter: [2350/11173]	Time 0.025 (0.247)	Data 0.000 (0.222)	Loss 1.1198 (2.4246)	Prec 81.250 (85.308)	LR 0.29815325108927065
INFO - 02/18/23 06:49:24 - 3:33:48 - Epoch[5] - Iter: [2400/11173]	Time 0.025 (0.247)	Data 0.000 (0.222)	Loss 2.5501 (2.4225)	Prec 93.750 (85.295)	LR 0.29815325108927065
INFO - 02/18/23 06:49:35 - 3:33:59 - Epoch[5] - Iter: [2450/11173]	Time 0.025 (0.247)	Data 0.000 (0.222)	Loss 0.4327 (2.4147)	Prec 90.625 (85.335)	LR 0.29815325108927065
INFO - 02/18/23 06:49:47 - 3:34:11 - Epoch[5] - Iter: [2500/11173]	Time 0.025 (0.247)	Data 0.000 (0.222)	Loss 3.2043 (2.4035)	Prec 78.125 (85.353)	LR 0.29815325108927065
INFO - 02/18/23 06:49:59 - 3:34:23 - Epoch[5] - Iter: [2550/11173]	Time 0.025 (0.246)	Data 0.000 (0.221)	Loss 5.1861 (2.4107)	Prec 90.625 (85.308)	LR 0.29815325108927065
INFO - 02/18/23 06:50:11 - 3:34:34 - Epoch[5] - Iter: [2600/11173]	Time 0.025 (0.246)	Data 0.000 (0.221)	Loss 0.6845 (2.4294)	Prec 87.500 (85.286)	LR 0.29815325108927065
INFO - 02/18/23 06:50:22 - 3:34:46 - Epoch[5] - Iter: [2650/11173]	Time 0.025 (0.246)	Data 0.000 (0.221)	Loss 4.2176 (2.4338)	Prec 90.625 (85.290)	LR 0.29815325108927065
INFO - 02/18/23 06:50:35 - 3:34:58 - Epoch[5] - Iter: [2700/11173]	Time 0.025 (0.246)	Data 0.000 (0.221)	Loss 2.3595 (2.4359)	Prec 81.250 (85.290)	LR 0.29815325108927065
INFO - 02/18/23 06:50:47 - 3:35:11 - Epoch[5] - Iter: [2750/11173]	Time 0.025 (0.246)	Data 0.000 (0.221)	Loss 1.2541 (2.4500)	Prec 90.625 (85.272)	LR 0.29815325108927065
INFO - 02/18/23 06:50:59 - 3:35:23 - Epoch[5] - Iter: [2800/11173]	Time 0.025 (0.246)	Data 0.000 (0.221)	Loss 1.6721 (2.4337)	Prec 84.375 (85.324)	LR 0.29815325108927065
INFO - 02/18/23 06:51:12 - 3:35:36 - Epoch[5] - Iter: [2850/11173]	Time 0.025 (0.246)	Data 0.000 (0.221)	Loss 0.3903 (2.4140)	Prec 96.875 (85.380)	LR 0.29815325108927065
INFO - 02/18/23 06:51:24 - 3:35:47 - Epoch[5] - Iter: [2900/11173]	Time 0.025 (0.246)	Data 0.000 (0.221)	Loss 0.6669 (2.4032)	Prec 93.750 (85.407)	LR 0.29815325108927065
INFO - 02/18/23 06:51:36 - 3:36:00 - Epoch[5] - Iter: [2950/11173]	Time 0.025 (0.246)	Data 0.000 (0.221)	Loss 4.4208 (2.4129)	Prec 90.625 (85.368)	LR 0.29815325108927065
INFO - 02/18/23 06:51:48 - 3:36:12 - Epoch[5] - Iter: [3000/11173]	Time 0.024 (0.246)	Data 0.000 (0.221)	Loss 0.5172 (2.4117)	Prec 84.375 (85.383)	LR 0.29815325108927065
INFO - 02/18/23 06:52:00 - 3:36:24 - Epoch[5] - Iter: [3050/11173]	Time 0.071 (0.246)	Data 0.047 (0.221)	Loss 3.2391 (2.4039)	Prec 84.375 (85.402)	LR 0.29815325108927065
INFO - 02/18/23 06:52:12 - 3:36:36 - Epoch[5] - Iter: [3100/11173]	Time 0.149 (0.246)	Data 0.125 (0.221)	Loss 0.7697 (2.4000)	Prec 90.625 (85.399)	LR 0.29815325108927065
INFO - 02/18/23 06:52:24 - 3:36:48 - Epoch[5] - Iter: [3150/11173]	Time 0.025 (0.246)	Data 0.000 (0.221)	Loss 1.7397 (2.3927)	Prec 87.500 (85.422)	LR 0.29815325108927065
INFO - 02/18/23 06:52:37 - 3:37:01 - Epoch[5] - Iter: [3200/11173]	Time 0.025 (0.246)	Data 0.000 (0.221)	Loss 1.2024 (2.3799)	Prec 90.625 (85.447)	LR 0.29815325108927065
INFO - 02/18/23 06:52:50 - 3:37:13 - Epoch[5] - Iter: [3250/11173]	Time 0.025 (0.246)	Data 0.000 (0.221)	Loss 3.6056 (2.3791)	Prec 78.125 (85.447)	LR 0.29815325108927065
INFO - 02/18/23 06:53:02 - 3:37:26 - Epoch[5] - Iter: [3300/11173]	Time 0.025 (0.246)	Data 0.000 (0.221)	Loss 1.6029 (2.3827)	Prec 84.375 (85.429)	LR 0.29815325108927065
INFO - 02/18/23 06:53:15 - 3:37:39 - Epoch[5] - Iter: [3350/11173]	Time 0.025 (0.246)	Data 0.000 (0.221)	Loss 2.4968 (2.3826)	Prec 78.125 (85.418)	LR 0.29815325108927065
INFO - 02/18/23 06:53:27 - 3:37:50 - Epoch[5] - Iter: [3400/11173]	Time 0.025 (0.246)	Data 0.000 (0.221)	Loss 3.1268 (2.3750)	Prec 78.125 (85.415)	LR 0.29815325108927065
INFO - 02/18/23 06:53:39 - 3:38:02 - Epoch[5] - Iter: [3450/11173]	Time 0.025 (0.246)	Data 0.000 (0.221)	Loss 1.1708 (2.3710)	Prec 81.250 (85.418)	LR 0.29815325108927065
INFO - 02/18/23 06:53:50 - 3:38:14 - Epoch[5] - Iter: [3500/11173]	Time 0.025 (0.246)	Data 0.000 (0.221)	Loss 0.7905 (2.3707)	Prec 96.875 (85.432)	LR 0.29815325108927065
INFO - 02/18/23 06:54:03 - 3:38:26 - Epoch[5] - Iter: [3550/11173]	Time 0.025 (0.246)	Data 0.000 (0.221)	Loss 1.0197 (2.3631)	Prec 93.750 (85.423)	LR 0.29815325108927065
INFO - 02/18/23 06:54:15 - 3:38:38 - Epoch[5] - Iter: [3600/11173]	Time 0.025 (0.245)	Data 0.000 (0.221)	Loss 3.0782 (2.3560)	Prec 62.500 (85.422)	LR 0.29815325108927065
INFO - 02/18/23 06:54:27 - 3:38:51 - Epoch[5] - Iter: [3650/11173]	Time 0.025 (0.246)	Data 0.000 (0.221)	Loss 1.3786 (2.3557)	Prec 90.625 (85.412)	LR 0.29815325108927065
INFO - 02/18/23 06:54:39 - 3:39:03 - Epoch[5] - Iter: [3700/11173]	Time 0.025 (0.245)	Data 0.000 (0.221)	Loss 3.1014 (2.3495)	Prec 87.500 (85.432)	LR 0.29815325108927065
INFO - 02/18/23 06:54:50 - 3:39:14 - Epoch[5] - Iter: [3750/11173]	Time 0.025 (0.245)	Data 0.000 (0.220)	Loss 1.1636 (2.3458)	Prec 90.625 (85.431)	LR 0.29815325108927065
INFO - 02/18/23 06:55:02 - 3:39:26 - Epoch[5] - Iter: [3800/11173]	Time 0.025 (0.245)	Data 0.000 (0.220)	Loss 0.7528 (2.3418)	Prec 93.750 (85.419)	LR 0.29815325108927065
INFO - 02/18/23 06:55:14 - 3:39:38 - Epoch[5] - Iter: [3850/11173]	Time 0.025 (0.245)	Data 0.000 (0.220)	Loss 4.7997 (2.3503)	Prec 81.250 (85.407)	LR 0.29815325108927065
INFO - 02/18/23 06:55:26 - 3:39:50 - Epoch[5] - Iter: [3900/11173]	Time 0.025 (0.245)	Data 0.000 (0.220)	Loss 2.4652 (2.3476)	Prec 93.750 (85.400)	LR 0.29815325108927065
INFO - 02/18/23 06:55:39 - 3:40:02 - Epoch[5] - Iter: [3950/11173]	Time 0.025 (0.245)	Data 0.000 (0.220)	Loss 2.3017 (2.3538)	Prec 84.375 (85.379)	LR 0.29815325108927065
INFO - 02/18/23 06:55:52 - 3:40:16 - Epoch[5] - Iter: [4000/11173]	Time 0.025 (0.245)	Data 0.000 (0.220)	Loss 0.3729 (2.3475)	Prec 96.875 (85.377)	LR 0.29815325108927065
INFO - 02/18/23 06:56:03 - 3:40:27 - Epoch[5] - Iter: [4050/11173]	Time 0.025 (0.245)	Data 0.000 (0.220)	Loss 1.2661 (2.3408)	Prec 75.000 (85.390)	LR 0.29815325108927065
INFO - 02/18/23 06:56:16 - 3:40:39 - Epoch[5] - Iter: [4100/11173]	Time 0.025 (0.245)	Data 0.000 (0.220)	Loss 0.0640 (2.3373)	Prec 93.750 (85.405)	LR 0.29815325108927065
INFO - 02/18/23 06:56:27 - 3:40:51 - Epoch[5] - Iter: [4150/11173]	Time 0.025 (0.245)	Data 0.000 (0.220)	Loss 4.0075 (2.3392)	Prec 84.375 (85.388)	LR 0.29815325108927065
INFO - 02/18/23 06:56:39 - 3:41:03 - Epoch[5] - Iter: [4200/11173]	Time 0.025 (0.245)	Data 0.000 (0.220)	Loss 1.5988 (2.3331)	Prec 84.375 (85.396)	LR 0.29815325108927065
INFO - 02/18/23 06:56:52 - 3:41:16 - Epoch[5] - Iter: [4250/11173]	Time 0.025 (0.245)	Data 0.000 (0.220)	Loss 4.6497 (2.3263)	Prec 87.500 (85.398)	LR 0.29815325108927065
INFO - 02/18/23 06:57:04 - 3:41:28 - Epoch[5] - Iter: [4300/11173]	Time 0.025 (0.245)	Data 0.000 (0.220)	Loss 1.2347 (2.3328)	Prec 84.375 (85.391)	LR 0.29815325108927065
INFO - 02/18/23 06:57:16 - 3:41:40 - Epoch[5] - Iter: [4350/11173]	Time 0.025 (0.245)	Data 0.000 (0.220)	Loss 0.7848 (2.3422)	Prec 93.750 (85.388)	LR 0.29815325108927065
INFO - 02/18/23 06:57:28 - 3:41:51 - Epoch[5] - Iter: [4400/11173]	Time 0.026 (0.245)	Data 0.000 (0.220)	Loss 2.1497 (2.3406)	Prec 75.000 (85.406)	LR 0.29815325108927065
